name,sku,price,description,stock_level,image_path,main_category,subcategory
Drywall Screws 1-5/8 inch,HWSC000002,8,Fine-thread drywall screws with sharp points for quick penetration and secure attachment to metal studs.,71,hardware_screws_drywall_screws_1_58_inch_20250620_195131.png,HARDWARE,SCREWS
Deck Screws 2-1/2 inch,HWSC000003,15,Exterior-rated deck screws with corrosion-resistant coating for outdoor construction projects.,9,hardware_screws_deck_screws_2_12_inch_20250620_195204.png,HARDWARE,SCREWS
Machine Screws Kit,HWSC000004,13,"Precision machine screws with hex, Phillips, and slotted drives in metric and standard thread pitches.",0,hardware_screws_machine_screws_kit_20250620_195239.png,HARDWARE,SCREWS
Self-Tapping Screws,HWSC000005,10,Hardened self-tapping screws for metal applications with drilling and threading action in one step.,39,hardware_screws_self_tapping_screws_20250620_195313.png,HARDWARE,SCREWS
Common Nail Assortment,HWNA000006,16,Traditional common nails from 6d to 16d for general construction and framing applications.,72,hardware_nails_common_nail_assortment_20250621_112543.png,HARDWARE,NAILS
Finish Nails 2-inch,HWNA000007,12,Small-head finish nails for trim work and cabinetry where nail heads will be countersunk and filled.,48,hardware_nails_finish_nails_2_inch_20250620_195356.png,HARDWARE,NAILS
Roofing Nails 1-1/4 inch,HWNA000008,14,Galvanized roofing nails with large heads for securing shingles and roofing materials.,55,hardware_nails_roofing_nails_1_14_inch_20250620_195430.png,HARDWARE,NAILS
Masonry Nails,HWNA000009,10,"Hardened masonry nails for fastening into concrete, brick, and block with fluted shanks for holding power.",90,hardware_nails_masonry_nails_20250620_195503.png,HARDWARE,NAILS
Brad Nails 18-gauge,HWNA000010,9,Thin brad nails for delicate trim work and attaching thin materials without splitting.,64,hardware_nails_brad_nails_18_gauge_20250620_195537.png,HARDWARE,NAILS
Hex Bolt Kit Grade 5,HWBO000011,24,High-strength Grade 5 hex bolts with matching nuts and washers in popular sizes from 1/4-inch to 1/2-inch.,96,hardware_bolts_hex_bolt_kit_grade_5_20250620_195611.png,HARDWARE,BOLTS
Carriage Bolt Set,HWBO000012,19,Smooth-head carriage bolts with square necks for wood applications and matching hex nuts.,70,hardware_bolts_carriage_bolt_set_20250620_195645.png,HARDWARE,BOLTS
Eye Bolts Assorted,HWBO000013,16,Forged eye bolts for hanging applications and rigging with thimbles and hardware included.,17,hardware_bolts_eye_bolts_assorted_20250620_195718.png,HARDWARE,BOLTS
Lag Bolts 1/2 x 6-inch,HWBO000014,28,Heavy-duty lag bolts with hex heads for securing large timbers and structural connections.,20,hardware_bolts_lag_bolts_12_x_6_inch_20250620_195752.png,HARDWARE,BOLTS
Toggle Bolt Set,HWBO000015,13,Spring-loaded toggle bolts for hollow wall applications with various lengths and thread sizes.,64,hardware_bolts_toggle_bolt_set_20250620_195826.png,HARDWARE,BOLTS
Flat Washer Assortment SAE,HWWA000016,8,Standard flat washers in SAE sizes to distribute load and prevent bolt head pull-through.,57,hardware_washers_flat_washer_assortment_sae_20250620_195901.png,HARDWARE,WASHERS
Lock Washer Set,HWWA000017,10,Split ring lock washers that prevent loosening of bolted connections under vibration.,11,hardware_washers_lock_washer_set_20250620_195935.png,HARDWARE,WASHERS
Fender Washer Kit,HWWA000018,12,Large-diameter fender washers for distributing loads over larger areas and soft materials.,16,hardware_washers_fender_washer_kit_20250620_200008.png,HARDWARE,WASHERS
Rubber Washer Set,HWWA000019,6,Flexible rubber washers for sealing applications and preventing metal-to-metal contact.,98,hardware_washers_rubber_washer_set_20250620_200043.png,HARDWARE,WASHERS
Metric Washer Assortment,HWWA000020,8,Complete metric flat washer set for European and Asian equipment and machinery.,6,hardware_washers_metric_washer_assortment_20250620_200116.png,HARDWARE,WASHERS
Butt Hinge 3-1/2 inch,HWHI000021,16,Standard door butt hinges with removable pins and screw holes for interior door hanging.,59,hardware_hinges_butt_hinge_3_12_inch_20250620_200151.png,HARDWARE,HINGES
Piano Hinge 2-foot,HWHI000022,24,"Continuous piano hinge for cabinet doors, lids, and long applications requiring full-length support.",16,hardware_hinges_piano_hinge_2_foot_20250620_200224.png,HARDWARE,HINGES
Strap Hinge Heavy Duty,HWHI000023,20,"Heavy-duty strap hinges for gates, shutters, and outdoor applications with rust-resistant finish.",25,hardware_hinges_strap_hinge_heavy_duty_20250620_200258.png,HARDWARE,HINGES
Spring Hinge Self-Closing,HWHI000024,28,Self-closing spring hinges that automatically return doors to closed position for screen doors.,76,hardware_hinges_spring_hinge_self_closing_20250620_200332.png,HARDWARE,HINGES
Concealed Cabinet Hinge,HWHI000025,13,European-style concealed hinges for modern cabinet doors with adjustable mounting plates.,11,hardware_hinges_concealed_cabinet_hinge_20250620_200407.png,HARDWARE,HINGES
Cabinet Knob Set Brushed Nickel,HWHK000026,30,Modern cabinet knobs in brushed nickel finish with matching screws and mounting hardware.,5,hardware_handles_&_knobs_cabinet_knob_set_brushed_nickel_20250620_200441.png,HARDWARE,HANDLES & KNOBS
Cabinet Pull 4-inch Centers,HWHK000027,36,Contemporary cabinet pulls with 4-inch hole spacing in various finishes and styles.,98,hardware_handles_&_knobs_cabinet_pull_4_inch_centers_20250620_200515.png,HARDWARE,HANDLES & KNOBS
Door Handle Lever Set,HWHK000028,48,Interior door lever handle set with latch and strike plate for modern door hardware.,7,hardware_handles_&_knobs_door_handle_lever_set_20250620_200548.png,HARDWARE,HANDLES & KNOBS
Drawer Pull 5-inch,HWHK000029,24,Traditional drawer pulls with antique brass finish for classic furniture and cabinetry.,26,hardware_handles_&_knobs_drawer_pull_5_inch_20250620_200623.png,HARDWARE,HANDLES & KNOBS
T-Handle Cabinet Hardware,HWHK000030,16,Functional T-handle pulls for workshop cabinets and utility storage with secure grip.,41,hardware_handles_&_knobs_t_handle_cabinet_hardware_20250620_200657.png,HARDWARE,HANDLES & KNOBS
Deadbolt Lock Keyed,HWLO000031,45,Single-cylinder deadbolt lock with pick-resistant pins and hardened steel bolt for security.,52,hardware_locks_deadbolt_lock_keyed_20250620_200732.png,HARDWARE,LOCKS
Door Knob Lock Set,HWLO000032,35,Entry door knob lock set with key-in-knob design and matching interior and exterior finishes.,68,hardware_locks_door_knob_lock_set_20250620_200807.png,HARDWARE,LOCKS
Padlock Set Keyed Alike,HWLO000033,28,Weather-resistant padlocks keyed alike for multiple applications with hardened steel shackles.,1,hardware_locks_padlock_set_keyed_alike_20250620_200841.png,HARDWARE,LOCKS
Cabinet Lock Cam Type,HWLO000034,15,Cam lock for cabinets and drawers with 90-degree turn action and removable key feature.,55,hardware_locks_cabinet_lock_cam_type_20250620_200914.png,HARDWARE,LOCKS
Chain Lock Door Security,HWLO000035,12,Door chain lock for additional security allowing partial door opening while maintaining control.,52,hardware_locks_chain_lock_door_security_20250620_200949.png,HARDWARE,LOCKS
Security Hasp 6-inch,HWHL000036,12,"Heavy-duty hasp and staple set for padlock security on gates, sheds, and storage areas.",59,hardware_hasps_&_latches_security_hasp_6_inch_20250620_201023.png,HARDWARE,HASPS & LATCHES
Barrel Latch 4-inch,HWHL000037,8,Spring-loaded barrel latch for gates and doors with automatic latching action.,33,hardware_hasps_&_latches_barrel_latch_4_inch_20250620_201058.png,HARDWARE,HASPS & LATCHES
Thumb Latch Galvanized,HWHL000038,15,Traditional thumb latch for gates with galvanized finish for outdoor weather resistance.,49,hardware_hasps_&_latches_thumb_latch_galvanized_20250620_201132.png,HARDWARE,HASPS & LATCHES
Slide Bolt Latch,HWHL000039,10,Surface-mount slide bolt latch for doors and gates with smooth sliding action.,3,hardware_hasps_&_latches_slide_bolt_latch_20250620_201206.png,HARDWARE,HASPS & LATCHES
Hook and Eye Latch,HWHL000040,6,Simple hook and eye latch for lightweight doors and gate applications with various sizes.,57,hardware_hasps_&_latches_hook_and_eye_latch_20250620_201239.png,HARDWARE,HASPS & LATCHES
Shelf Bracket 8-inch,HWBK000041,10,Heavy-duty steel shelf brackets with decorative scrollwork and powder-coated finish.,7,hardware_brackets_shelf_bracket_8_inch_20250620_201313.png,HARDWARE,BRACKETS
Angle Bracket 4-inch,HWBK000042,8,Right-angle corner brackets for reinforcing joints and connecting perpendicular members.,35,hardware_brackets_angle_bracket_4_inch_20250620_201346.png,HARDWARE,BRACKETS
L-Bracket Galvanized,HWBK000043,5,Simple L-brackets in galvanized steel for basic corner reinforcement and light-duty connections.,82,hardware_brackets_l_bracket_galvanized_20250620_201421.png,HARDWARE,BRACKETS
Floating Shelf Bracket,HWBK000044,13,Concealed floating shelf brackets that create the appearance of unsupported shelving.,95,hardware_brackets_floating_shelf_bracket_20250620_201455.png,HARDWARE,BRACKETS
Countertop Support Bracket,HWBK000045,16,Heavy-duty brackets designed to support overhanging countertops and work surfaces.,16,hardware_brackets_countertop_support_bracket_20250620_201528.png,HARDWARE,BRACKETS
Swivel Caster 2-inch,HWCA000046,15,Heavy-duty swivel casters with ball bearing races for smooth rolling and 360-degree rotation.,67,hardware_casters_swivel_caster_2_inch_20250620_201602.png,HARDWARE,CASTERS
Fixed Caster 3-inch,HWCA000047,12,Rigid fixed casters for straight-line movement with polyurethane wheels for floor protection.,43,hardware_casters_fixed_caster_3_inch_20250620_201637.png,HARDWARE,CASTERS
Locking Caster Set,HWCA000048,21,Swivel casters with foot-operated locks for both wheel rotation and swivel action.,81,hardware_casters_locking_caster_set_20250620_201711.png,HARDWARE,CASTERS
Pneumatic Caster 4-inch,HWCA000049,28,Air-filled pneumatic casters for smooth rolling over rough surfaces and outdoor use.,68,hardware_casters_pneumatic_caster_4_inch_20250620_201744.png,HARDWARE,CASTERS
Furniture Caster Set,HWCA000050,10,Small furniture casters with soft wheels for hardwood floor protection and quiet operation.,95,hardware_casters_furniture_caster_set_20250620_201819.png,HARDWARE,CASTERS
Pressure Treated 2x4x8,LBDL000001,8,Kiln-dried pressure-treated lumber for structural framing and outdoor construction projects.,19,lumber_&_building_materials_dimensional_lumber_pressure_treated_2x4x8_20250620_201852.png,LUMBER & BUILDING MATERIALS,DIMENSIONAL LUMBER
Douglas Fir 2x6x10,LBDL000002,13,Premium Douglas fir dimensional lumber for structural applications with excellent strength-to-weight ratio.,53,lumber_&_building_materials_dimensional_lumber_douglas_fir_2x6x10_20250620_201926.png,LUMBER & BUILDING MATERIALS,DIMENSIONAL LUMBER
Cedar 2x4x8,LBDL000003,18,Natural cedar lumber with built-in insect and decay resistance for outdoor construction.,81,lumber_&_building_materials_dimensional_lumber_cedar_2x4x8_20250620_202000.png,LUMBER & BUILDING MATERIALS,DIMENSIONAL LUMBER
Pine Stud 2x4x8,LBDL000004,6,Kiln-dried pine construction studs for interior framing with straight grain and minimal defects.,72,lumber_&_building_materials_dimensional_lumber_pine_stud_2x4x8_20250620_202034.png,LUMBER & BUILDING MATERIALS,DIMENSIONAL LUMBER
Treated 2x8x12 Joist,LBDL000005,22,Heavy-duty pressure-treated joists for deck framing and structural support applications.,76,lumber_&_building_materials_dimensional_lumber_treated_2x8x12_joist_20250620_202108.png,LUMBER & BUILDING MATERIALS,DIMENSIONAL LUMBER
CDX Plywood 4x8x3/4,LBPLY001,45,Construction-grade CDX plywood with C-face and D-back for structural sheathing and subflooring.,64,lumber_&_building_materials_plywood_cdx_plywood_4x8x34_20250620_202142.png,LUMBER & BUILDING MATERIALS,PLYWOOD
Birch Plywood 4x8x1/2,LBPLY002,58,High-grade birch plywood with smooth surface for cabinet making and furniture construction.,53,lumber_&_building_materials_plywood_birch_plywood_4x8x12_20250620_202216.png,LUMBER & BUILDING MATERIALS,PLYWOOD
Marine Plywood 4x8x3/4,LBPLY003,82,Waterproof marine-grade plywood with void-free core for boat building and exterior applications.,10,lumber_&_building_materials_plywood_marine_plywood_4x8x34_20250620_202249.png,LUMBER & BUILDING MATERIALS,PLYWOOD
OSB Sheathing 4x8x7/16,LBPLY004,32,Oriented strand board sheathing for wall and roof sheathing with moisture resistance.,2,lumber_&_building_materials_plywood_osb_sheathing_4x8x716_20250620_202323.png,LUMBER & BUILDING MATERIALS,PLYWOOD
Pressure Treated Plywood,LBPLY005,65,Exterior-grade pressure-treated plywood for outdoor applications and ground contact use.,73,lumber_&_building_materials_plywood_pressure_treated_plywood_20250620_202358.png,LUMBER & BUILDING MATERIALS,PLYWOOD
Standard Drywall 4x8x1/2,LBDW000006,16,Regular gypsum drywall for interior walls and ceilings in dry locations.,88,lumber_&_building_materials_drywall_standard_drywall_4x8x12_20250620_202431.png,LUMBER & BUILDING MATERIALS,DRYWALL
Moisture Resistant Drywall,LBDW000007,20,Green board drywall for bathrooms and high-humidity areas with moisture-resistant core.,97,lumber_&_building_materials_drywall_moisture_resistant_drywall_20250620_202507.png,LUMBER & BUILDING MATERIALS,DRYWALL
Fire Resistant Drywall,LBDW000008,24,Type X fire-rated drywall for enhanced fire protection in commercial and residential applications.,50,lumber_&_building_materials_drywall_fire_resistant_drywall_20250620_202546.png,LUMBER & BUILDING MATERIALS,DRYWALL
Lightweight Drywall 4x8,LBDW000009,18,Ultra-light drywall that's 25% lighter than standard board for easier handling and installation.,45,lumber_&_building_materials_drywall_lightweight_drywall_4x8_20250620_202620.png,LUMBER & BUILDING MATERIALS,DRYWALL
Soundproof Drywall 4x8,LBDW000010,35,Sound-dampening drywall with enhanced acoustic properties for noise reduction between rooms.,10,lumber_&_building_materials_drywall_soundproof_drywall_4x8_20250620_202655.png,LUMBER & BUILDING MATERIALS,DRYWALL
Fiberglass Batts R-13,LBIN000011,32,Standard fiberglass insulation batts for 2x4 wall construction with moisture barrier.,82,lumber_&_building_materials_insulation_fiberglass_batts_r_13_20250620_202730.png,LUMBER & BUILDING MATERIALS,INSULATION
Blown-In Insulation R-30,LBIN000012,48,Loose-fill fiberglass insulation for attics and hard-to-reach areas with higher R-value.,8,lumber_&_building_materials_insulation_blown_in_insulation_r_30_20250620_202805.png,LUMBER & BUILDING MATERIALS,INSULATION
Foam Board Insulation,LBIN000013,35,Rigid foam insulation board for continuous insulation and thermal bridging reduction.,77,lumber_&_building_materials_insulation_foam_board_insulation_20250620_202840.png,LUMBER & BUILDING MATERIALS,INSULATION
Spray Foam Kit,LBIN000014,65,Two-component spray foam insulation kit for air sealing and insulating irregular spaces.,40,lumber_&_building_materials_insulation_spray_foam_kit_20250620_202915.png,LUMBER & BUILDING MATERIALS,INSULATION
Reflective Insulation,LBIN000015,25,Radiant barrier insulation with reflective surface for reducing heat transfer in attics.,17,lumber_&_building_materials_insulation_reflective_insulation_20250620_202949.png,LUMBER & BUILDING MATERIALS,INSULATION
OSB Sheathing 4x8x7/16,LBOSB001,29,Standard OSB sheathing for roof and wall construction with moisture-resistant adhesive.,57,lumber_&_building_materials_osb_osb_sheathing_4x8x716_20250620_203030.png,LUMBER & BUILDING MATERIALS,OSB
OSB Subflooring 4x8x3/4,LBOSB002,35,Tongue-and-groove OSB subflooring with engineered strength for floor systems.,78,lumber_&_building_materials_osb_osb_subflooring_4x8x34_20250620_203106.png,LUMBER & BUILDING MATERIALS,OSB
Advantech Subflooring,LBOSB003,50,Premium engineered subflooring with superior moisture resistance and dimensional stability.,93,lumber_&_building_materials_osb_advantech_subflooring_20250620_203141.png,LUMBER & BUILDING MATERIALS,OSB
ZIP System Sheathing,LBOSB004,58,Integrated sheathing and weather barrier system with built-in moisture protection.,46,lumber_&_building_materials_osb_zip_system_sheathing_20250620_203216.png,LUMBER & BUILDING MATERIALS,OSB
OSB Siding Panel,LBOSB005,42,Textured OSB siding panels for exterior wall cladding with weather-resistant coating.,3,lumber_&_building_materials_osb_osb_siding_panel_20250620_203250.png,LUMBER & BUILDING MATERIALS,OSB
Crown Molding Pine 8ft,LBMLD001,16,Traditional crown molding in clear pine for elegant interior trim applications.,58,lumber_&_building_materials_molding_crown_molding_pine_8ft_20250620_203323.png,LUMBER & BUILDING MATERIALS,MOLDING
Baseboard Molding 8ft,LBMLD002,12,Classic baseboard molding for finishing floor-to-wall transitions with smooth profile.,56,lumber_&_building_materials_molding_baseboard_molding_8ft_20250620_203357.png,LUMBER & BUILDING MATERIALS,MOLDING
Chair Rail Molding,LBMLD003,10,Decorative chair rail molding for protecting walls and adding architectural interest.,95,lumber_&_building_materials_molding_chair_rail_molding_20250620_203431.png,LUMBER & BUILDING MATERIALS,MOLDING
Quarter Round 8ft,LBMLD004,6,Small quarter-round molding for covering gaps between flooring and baseboards.,6,lumber_&_building_materials_molding_quarter_round_8ft_20250620_203505.png,LUMBER & BUILDING MATERIALS,MOLDING
Window Casing Set,LBMLD005,21,Complete window casing set including head and side casings for professional window trim.,29,lumber_&_building_materials_molding_window_casing_set_20250620_203539.png,LUMBER & BUILDING MATERIALS,MOLDING
Pine Board 1x4x8,LBTRM001,10,"Clear pine boards for interior trim, shelving, and general construction applications.",27,lumber_&_building_materials_trim_boards_pine_board_1x4x8_20250620_203614.png,LUMBER & BUILDING MATERIALS,TRIM BOARDS
Poplar Board 1x6x8,LBTRM002,14,Premium poplar lumber with fine grain for painting and high-quality trim work.,29,lumber_&_building_materials_trim_boards_poplar_board_1x6x8_20250620_203647.png,LUMBER & BUILDING MATERIALS,TRIM BOARDS
Cedar Board 1x8x10,LBTRM003,20,Natural cedar boards for exterior trim and siding with built-in weather resistance.,11,lumber_&_building_materials_trim_boards_cedar_board_1x8x10_20250620_203721.png,LUMBER & BUILDING MATERIALS,TRIM BOARDS
MDF Trim Board 1x4,LBTRM004,8,Medium-density fiberboard trim with smooth surface perfect for painted applications.,47,lumber_&_building_materials_trim_boards_mdf_trim_board_1x4_20250620_203756.png,LUMBER & BUILDING MATERIALS,TRIM BOARDS
PVC Trim Board 1x6,LBTRM005,25,"Cellular PVC trim board that won't rot, warp, or require painting for exterior use.",98,lumber_&_building_materials_trim_boards_pvc_trim_board_1x6_20250620_203830.png,LUMBER & BUILDING MATERIALS,TRIM BOARDS
Quikrete Mix 80lb,LBCNC001,7,"Fast-setting concrete mix for fence posts, mailboxes, and small concrete projects.",70,lumber_&_building_materials_concrete_mix_quikrete_mix_80lb_20250620_203904.png,LUMBER & BUILDING MATERIALS,CONCRETE MIX
Ready Mix Concrete 60lb,LBCNC002,6,"Standard concrete mix for sidewalks, driveways, and general concrete construction.",66,lumber_&_building_materials_concrete_mix_ready_mix_concrete_60lb_20250620_203938.png,LUMBER & BUILDING MATERIALS,CONCRETE MIX
High Strength Mix 80lb,LBCNC003,8,High-strength concrete mix for structural applications requiring superior compressive strength.,21,lumber_&_building_materials_concrete_mix_high_strength_mix_80lb_20250620_204013.png,LUMBER & BUILDING MATERIALS,CONCRETE MIX
Crack Resistant Mix,LBCNC004,10,Fiber-reinforced concrete mix with enhanced crack resistance for durable installations.,57,lumber_&_building_materials_concrete_mix_crack_resistant_mix_20250620_204048.png,LUMBER & BUILDING MATERIALS,CONCRETE MIX
Fast-Set Concrete 50lb,LBCNC005,8,Rapid-setting concrete that sets in 20 minutes for quick project completion.,54,lumber_&_building_materials_concrete_mix_fast_set_concrete_50lb_20250620_204140.png,LUMBER & BUILDING MATERIALS,CONCRETE MIX
Hardiebacker 3x5x1/4,LBCMN001,25,Fiber cement backer board for tile underlayment in wet areas with mold resistance.,19,lumber_&_building_materials_cement_board_hardiebacker_3x5x14_20250620_204215.png,LUMBER & BUILDING MATERIALS,CEMENT BOARD
Durock Cement Board,LBCMN002,29,Glass mesh reinforced cement board for heavy tile installations and shower surrounds.,38,lumber_&_building_materials_cement_board_durock_cement_board_20250620_204250.png,LUMBER & BUILDING MATERIALS,CEMENT BOARD
Permabase Board 4x8,LBCMN003,32,Cement fiber board with moisture barrier for waterproof tile installations.,6,lumber_&_building_materials_cement_board_permabase_board_4x8_20250620_204325.png,LUMBER & BUILDING MATERIALS,CEMENT BOARD
WonderBoard Lite,LBCMN004,20,Lightweight cement board that's easier to cut and handle while maintaining strength.,31,lumber_&_building_materials_cement_board_wonderboard_lite_20250620_204358.png,LUMBER & BUILDING MATERIALS,CEMENT BOARD
Exterior Cement Board,LBCMN005,40,Weather-resistant cement board for exterior tile and stone veneer applications.,35,lumber_&_building_materials_cement_board_exterior_cement_board_20250620_204433.png,LUMBER & BUILDING MATERIALS,CEMENT BOARD
PT Post 4x4x8,LBTRT001,13,Pressure-treated fence post with .40 retention for ground contact applications.,49,lumber_&_building_materials_treated_posts_pt_post_4x4x8_20250620_204507.png,LUMBER & BUILDING MATERIALS,TREATED POSTS
Cedar Post 6x6x8,LBTRT002,25,Natural cedar post with built-in decay resistance for premium fence construction.,94,lumber_&_building_materials_treated_posts_cedar_post_6x6x8_20250620_204541.png,LUMBER & BUILDING MATERIALS,TREATED POSTS
PT Landscape Timber,LBTRT003,10,Pressure-treated landscape timber for retaining walls and garden bed construction.,26,lumber_&_building_materials_treated_posts_pt_landscape_timber_20250620_204615.png,LUMBER & BUILDING MATERIALS,TREATED POSTS
Round Fence Post 8ft,LBTRT004,18,Pressure-treated round fence post with pointed end for easy installation.,36,lumber_&_building_materials_treated_posts_round_fence_post_8ft_20250620_204649.png,LUMBER & BUILDING MATERIALS,TREATED POSTS
Deck Post 6x6x10,LBTRT005,32,Heavy-duty pressure-treated post for deck construction and structural support applications.,22,lumber_&_building_materials_treated_posts_deck_post_6x6x10_20250620_204722.png,LUMBER & BUILDING MATERIALS,TREATED POSTS
Romex Wire 14-2 250ft,ELWIR001,50,14-gauge Romex cable for 15-amp circuits with ground wire for residential electrical installations.,93,electrical_wire_romex_wire_14_2_250ft_20250620_204756.png,ELECTRICAL,WIRE
Romex Wire 12-2 250ft,ELWIR002,65,12-gauge Romex cable for 20-amp circuits including kitchen outlets and bathroom circuits.,89,electrical_wire_romex_wire_12_2_250ft_20250620_204830.png,ELECTRICAL,WIRE
THHN Wire 12 AWG,ELWIR003,40,Single conductor THHN wire for conduit applications with heat and moisture resistance.,51,electrical_wire_thhn_wire_12_awg_20250620_204904.png,ELECTRICAL,WIRE
Underground Wire 12-2,ELWIR004,75,Direct burial electrical cable for outdoor lighting and underground electrical runs.,36,electrical_wire_underground_wire_12_2_20250620_204938.png,ELECTRICAL,WIRE
Armored Cable BX 12-2,ELWIR005,85,Metal-clad cable with flexible armor for commercial and industrial electrical applications.,44,electrical_wire_armored_cable_bx_12_2_20250620_205012.png,ELECTRICAL,WIRE
Standard Outlet 15-Amp,ELOTL001,5,Basic duplex outlet with grounding for general household electrical applications.,4,electrical_outlets_standard_outlet_15_amp_20250620_205045.png,ELECTRICAL,OUTLETS
GFCI Outlet 20-Amp,ELOTL002,18,Ground fault circuit interrupter outlet for wet locations with test and reset buttons.,64,electrical_outlets_gfci_outlet_20_amp_20250620_205119.png,ELECTRICAL,OUTLETS
USB Outlet with Charging,ELOTL003,25,Combination outlet with USB ports for convenient device charging without adapters.,56,electrical_outlets_usb_outlet_with_charging_20250620_205152.png,ELECTRICAL,OUTLETS
AFCI Outlet 15-Amp,ELOTL004,29,Arc fault circuit interrupter outlet for enhanced electrical fire protection.,31,electrical_outlets_afci_outlet_15_amp_20250620_205226.png,ELECTRICAL,OUTLETS
Weather Resistant Outlet,ELOTL005,14,Outdoor outlet with weather-resistant cover for exterior electrical installations.,12,electrical_outlets_weather_resistant_outlet_20250620_205301.png,ELECTRICAL,OUTLETS
Single Pole Switch,ELSWT001,6,Basic single pole light switch for controlling lights from one location.,84,electrical_switches_single_pole_switch_20250620_205334.png,ELECTRICAL,SWITCHES
Dimmer Switch LED,ELSWT002,15,Electronic dimmer compatible with LED and CFL bulbs with smooth dimming control.,52,electrical_switches_dimmer_switch_led_20250620_205408.png,ELECTRICAL,SWITCHES
Three-Way Switch,ELSWT003,8,Three-way switch for controlling lights from two different locations.,65,electrical_switches_three_way_switch_20250620_205449.png,ELECTRICAL,SWITCHES
Motion Sensor Switch,ELSWT004,25,Automatic switch with motion detection for hands-free lighting control.,54,electrical_switches_motion_sensor_switch_20250620_205523.png,ELECTRICAL,SWITCHES
Timer Switch,ELSWT005,20,Programmable timer switch for automatic lighting and fan control with multiple settings.,37,electrical_switches_timer_switch_20250620_205557.png,ELECTRICAL,SWITCHES
Single Pole Breaker 15A,ELCB000001,18,Standard single pole circuit breaker for 120V residential electrical panels.,96,electrical_circuit_breakers_single_pole_breaker_15a_20250620_205630.png,ELECTRICAL,CIRCUIT BREAKERS
Single Pole Breaker 20A,ELCB000002,22,20-amp single pole breaker for kitchen and bathroom circuit protection.,30,electrical_circuit_breakers_single_pole_breaker_20a_20250620_205711.png,ELECTRICAL,CIRCUIT BREAKERS
Double Pole Breaker 30A,ELCB000003,38,Double pole breaker for 240V appliances like electric dryers and water heaters.,46,electrical_circuit_breakers_double_pole_breaker_30a_20250620_205747.png,ELECTRICAL,CIRCUIT BREAKERS
GFCI Breaker 20-Amp,ELCB000004,52,Ground fault circuit interrupter breaker for wet location protection at panel level.,14,electrical_circuit_breakers_gfci_breaker_20_amp_20250620_205822.png,ELECTRICAL,CIRCUIT BREAKERS
AFCI Breaker 15-Amp,ELCB000005,48,Arc fault circuit interrupter breaker for bedroom and living area fire protection.,57,electrical_circuit_breakers_afci_breaker_15_amp_20250620_205856.png,ELECTRICAL,CIRCUIT BREAKERS
EMT Conduit 1/2-inch,ELCO000006,6,Electrical metallic tubing for protecting wiring in commercial applications.,16,electrical_conduit_emt_conduit_12_inch_20250620_205930.png,ELECTRICAL,CONDUIT
PVC Conduit 3/4-inch,ELCO000007,8,PVC electrical conduit for underground and wet location wire protection.,94,electrical_conduit_pvc_conduit_34_inch_20250620_210003.png,ELECTRICAL,CONDUIT
Flexible Conduit 1/2-inch,ELCO000008,12,Flexible metal conduit for connections to motors and vibrating equipment.,74,electrical_conduit_flexible_conduit_12_inch_20250620_210037.png,ELECTRICAL,CONDUIT
Rigid Conduit 1-inch,ELCO000009,16,Heavy-duty rigid metal conduit for industrial and outdoor electrical installations.,61,electrical_conduit_rigid_conduit_1_inch_20250620_210111.png,ELECTRICAL,CONDUIT
Liquid-Tight Conduit,ELCO000010,20,Waterproof flexible conduit for outdoor and wet location electrical connections.,89,electrical_conduit_liquid_tight_conduit_20250620_210146.png,ELECTRICAL,CONDUIT
Outlet Box Single Gang,ELJB000011,4,Standard single gang electrical box for switches and outlets in wall installations.,24,electrical_junction_boxes_outlet_box_single_gang_20250620_210220.png,ELECTRICAL,JUNCTION BOXES
Junction Box 4x4,ELJB000012,6,Square junction box for wire splicing and electrical connections with knockouts.,82,electrical_junction_boxes_junction_box_4x4_20250620_210255.png,ELECTRICAL,JUNCTION BOXES
Ceiling Box with Bracket,ELJB000013,8,Ceiling electrical box with adjustable bracket for light fixture mounting.,87,electrical_junction_boxes_ceiling_box_with_bracket_20250620_210330.png,ELECTRICAL,JUNCTION BOXES
Old Work Box,ELJB000014,6,Retrofit electrical box for adding outlets to existing walls without wall removal.,82,electrical_junction_boxes_old_work_box_20250620_210403.png,ELECTRICAL,JUNCTION BOXES
Weatherproof Box,ELJB000015,14,Outdoor electrical box with gasket seal for weather protection in exterior applications.,96,electrical_junction_boxes_weatherproof_box_20250620_210438.png,ELECTRICAL,JUNCTION BOXES
Wire Nut Assortment,ELWRN001,8,Color-coded wire nuts in multiple sizes for various wire gauge combinations.,82,electrical_wire_nuts_wire_nut_assortment_20250620_210513.png,ELECTRICAL,WIRE NUTS
Twist-On Connectors,ELWRN002,6,Standard twist-on wire connectors for joining 2-3 wires in electrical boxes.,1,electrical_wire_nuts_twist_on_connectors_20250620_210547.png,ELECTRICAL,WIRE NUTS
Push-In Connectors,ELWRN003,10,Lever-operated wire connectors for quick and secure electrical connections.,97,electrical_wire_nuts_push_in_connectors_20250620_210621.png,ELECTRICAL,WIRE NUTS
Grease Cap Wire Nuts,ELWRN004,10,Waterproof wire nuts with silicone grease for outdoor electrical connections.,73,electrical_wire_nuts_grease_cap_wire_nuts_20250620_210655.png,ELECTRICAL,WIRE NUTS
